Time,<FuelMassFlw>,<EoNOx>,<PwrHeatTrnsfrLoss>,EngTrq,InjPw,SpkAdv,ICP,ECP
406.6 sec,0.00134758175862816,6.69378839272493e-05,27380.7348762108,103.663664254128,3.13312758881047,18.2982117147153,60,39.2993316519377
406.8 sec,0.00568361538143488,7.44408223692093e-05,218617.680683314,117.739936058146,13.2144057618361,40,27.5230755488242,5.6574596649855
407 sec,0.00568361538143488,7.44408223692093e-05,218617.680683314,117.739936058146,13.2144057618361,40,27.5230755488242,5.6574596649855
407.2 sec,0.00512617119407494,7.31645362099195e-05,193745.757312774,117.248744293438,11.9183480262242,40,29.9694389581685,16.7211315414537
407.4 sec,0.000607443424902201,6.33550212938016e-05,-5410.67518858552,102.455107158667,1.41230596289762,31.0141194990083,20,38.4753075441923
407.6 sec,0.000607443424902201,6.33550212938016e-05,-5410.67518858552,102.455107158667,1.41230596289762,31.0141194990083,20,38.4753075441923
407.8 sec,0.00197435329678044,6.22562805184135e-05,51892.5461277648,120.383186596954,4.59037141501452,34.2806296467176,55.5667378481632,34.2365586772757
408 sec,0.00411624465842632,7.12918749330909e-05,148932.978175825,115.253655091421,9.57026883084119,21.1405408095335,23.2445732127164,12.8921369006043
408.2 sec,0.00411624465842632,7.12918749330909e-05,148932.978175825,115.253655091421,9.57026883084119,21.1405408095335,23.2445732127164,12.8921369006043
408.4 sec,0.000199983586557496,6.64004831902316e-05,-26209.2062667632,108.567256015452,0.464961838746179,14.8127685086233,54.7962655820385,6.36512298038712
408.6 sec,0.00157386195978287,6.74374227249027e-05,34400.0535128774,113.932830965208,3.65922905649516,31.1863303443881,50.715010710385,3.41928621761823
408.8 sec,0.00157386195978287,6.74374227249027e-05,34400.0535128774,113.932830965208,3.65922905649516,31.1863303443881,50.715010710385,3.41928621761823
409 sec,0.00860215053763441,8.13992584393574e-05,350674.010581864,115.481650140553,20,25.4854909109392,36.7846964255748,29.4049950405272
409.2 sec,0.00860215053763441,8.30608410102739e-05,351940.078890289,110.857705598767,20,18.0510666261036,20,23.3065437701147
409.4 sec,0.00860215053763441,8.30608410102739e-05,351940.078890289,110.857705598767,20,18.0510666261036,20,23.3065437701147
409.6 sec,0.00251379836337429,6.54438252998267e-05,75183.5923727699,120.920262069209,5.84458119484522,29.4292080054005,59.4484186713152,4.03656694144012
409.8 sec,0.00416183684122974,7.09445308341193e-05,151461.73182319,114.386064551235,9.67627065585915,34.125726425204,20,19.6781220610892
410 sec,0.00416183684122974,7.09445308341193e-05,151461.73182319,114.386064551235,9.67627065585915,34.125726425204,20,19.6781220610892
410.2 sec,0.00198360542892537,6.42995475784214e-05,54994.1405587914,109.735024926037,4.61188262225148,19.4647906646478,20,40
410.4 sec,0.00442862479378514,7.15696641408271e-05,163051.652298376,115.475896451254,10.2965526455505,26.3270825666306,26.0670498387946,22.5538371467658
410.6 sec,0.00442862479378514,7.15696641408271e-05,163051.652298376,115.475896451254,10.2965526455505,26.3270825666306,26.0670498387946,22.5538371467658
410.8 sec,0.00365100844241604,7.35511624723936e-05,130203.880436464,106.113960524909,8.48859462861728,10,60,33.205692043212
